Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	Reference
Odonata	Nehalennia gracilis	Nehalennia irene	N	N	N	NA	NA	NA
Odonata	Onychogomphus forcipatus	Onychogomphus uncatus	N	N	N	NA	NA	NA
Odonata	Ophiogomphus carolus	Phanogomphus lividus	N	N	N	NA	NA	NA
Odonata	Ophiogomphus rupinsulensis	Ophiogomphus carolus	Y	Y	Y	NA	NA	NA
Odonata	Ophiogomphus severus	Ophiogomphus occidentis	Y	N	N	NA	NA	NA
Odonata	Orthetrum albistylum	Orthetrum poecilops	N	N	N	NA	NA	NA
Odonata	Orthetrum albistylum	Orthetrum triangulare	N	N	N	NA	NA	NA
Odonata	Orthetrum brunneum	Onychogomphus forcipatus	N	N	N	NA	NA	NA
Odonata	Orthetrum cancellatum	Orthetrum albistylum	N	N	N	NA	NA	NA
Odonata	Paracercion melanotum	Paracercion plagiosum	N	N	N	NA	NA	NA
Odonata	Phanogomphus exilis	Phanogomphus spicatus	N	N	N	NA	NA	NA
Odonata	Phanogomphus graslinellus	Gomphus lividus	Y	Y	Y	NA	NA	NA
Odonata	Phanogomphus graslinellus	Phanogomphus lividus	Y	Y	Y	NA	NA	NA
Odonata	Platycnemis pennipes	Coenagrion puella	N	N	N	NA	NA	NA
Odonata	Platycnemis pennipes	Platycnemis acutipennis	Y	Y	N	NA	NA	NA
Odonata	Pseudagrion rubriceps	Pseudagrion microcephalum	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Coenagrion lunulatum	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Coenagrion mercuriale	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Coenagrion puella	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Ischnura pumilio	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Lestes barbarus	N	N	N	NA	NA	NA
Odonata	Pyrrhosoma nymphula	Sympecma fusca	N	N	N	NA	NA	NA
Odonata	Somatochlora albicincta	Somatochlora hudsonica	N	N	N	NA	NA	NA
Odonata	Somatochlora sahlbergi	Somatochlora albicinta	Y	Y	Y	NA	NA	NA
Odonata	Somatochlora sahlbergi	Somatochlora hudsonica	Y	Y	Y	NA	NA	NA
Odonata	Stylurus plagiatus	Dromogomphus armatus	N	N	N	NA	NA	NA
Odonata	Sympecma fusca	Sympecma paedisca	N	N	N	NA	NA	NA
Odonata	Sympetrum croceolum	Sympetrum uniforme	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum danae	Sympetrum sanguineum	N	N	N	NA	NA	NA
Odonata	Sympetrum darwinianum	Sympetrum maculatum	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum depressiusculum	Crocothemis erythraea	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Libellula fulva	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Onychogomphus uncatus	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Orthetrum albistylum	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Orthetrum cancellatum	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Oxygastra curtisii	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Sympetrum fonscolombii	N	N	N	NA	NA	NA
Odonata	Sympetrum depressiusculum	Sympetrum frequens	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum eroticum	Sympetrum baccha	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum eroticum	Sympetrum darwinianum	N	N	N	NA	NA	NA
Odonata	Sympetrum eroticum	Sympetrum parvulum	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum eroticum	Sympetrum pedemontanum	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum frequens	Pantala flavescens	N	N	N	NA	NA	NA
Odonata	Sympetrum frequens	Sympetrum infuscatum	Y	N	N	NA	NA	NA
Odonata	Sympetrum infuscatum	Sympetrum maculatum	Y	N	N	NA	NA	NA
Odonata	Sympetrum internum	Sympetrum rubicundulum	Y	N	N	NA	NA	NA
Odonata	Sympetrum kunckeli	Sympetrum darwinianum	Y	N	N	NA	NA	NA
Odonata	Sympetrum kunckeli	Sympetrum eroticum	Y	Y	Y	NA	NA	NA
Odonata	Sympetrum meridionale	Sympetrum striolatum	N	N	N	NA	NA	NA
Odonata	Sympetrum obtrusum	Sympetrum danae	N	N	N	NA	NA	NA
Odonata	Sympetrum risi	Sympetrum eroticum	N	N	N	NA	NA	NA
Odonata	Sympetrum risi	Sympetrum infuscatum	Y	N	N	NA	NA	NA
Odonata	Sympetrum rubicundulum	Sympetrum obtrusum	N	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Crocothemis erythraea	N	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Sympetrum flaveolum	N	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Sympetrum meridionale	N	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Sympetrum striolatum	Y	N	N	NA	NA	NA
Odonata	Sympetrum sanguineum	Sympetrum vulgatum	N	N	N	NA	NA	NA
Odonata	Sympetrum vulgatum	Sympetrum danae	Y	Y	N	NA	NA	NA
Odonata	Sympetrum vulgatum	Sympetrum striolatum	Y	Y	N	NA	NA	NA
Odonata	Trigomphus interruptus	Trigomphus ogumai	N	N	N	NA	NA	NA
Orthoptera	Allonemobius fasciatus	Allonemobius socius	Y	Y	Y	Y	Y	GREGORY, PG; HOWARD, DJ, 1993
Orthoptera	Chorthippus albomarginatus	Chorthippus karelini	Y	Y	Y	Y	?	Vedenina, VY, 2015
Orthoptera	Chorthippus albomarginatus	Chorthippus oschei	Y	Y	Y	Y	Y	Vedenina, VY; Kulygina, NK; Panyutin, AK, 2007
Orthoptera	Chorthippus biguttulus	Chorthippus brunneus	Y	Y	Y	Y	N	Gottsberger, B; Mayer, F, 2019
Orthoptera	Chorthippus biguttulus	Chorthippus mollis	Y	Y	Y	Y	N	Finck, J; Ronacher, B, 2017
Orthoptera	Chorthippus brunneus	Chorthippus jacobsi	Y	Y	Y	Y	Y	Saldamando, CI; Tatsuta, H; Butlin, RK, 2005
Orthoptera	Chorthippus oschei	Chorthippus karelini	Y	Y	Y	Y	?	Vedenina, VY, 2015
Orthoptera	Chorthippus parallelus	Chorthippus montanus	Y	Y	Y	Y	Y	Rohde, K; Hau, Y; Weyer, J; Hochkirch, A, 2015
Orthoptera	Cyphoderris buckelli	Cyphoderris monstrosa	Y	N	N	N	N	Dupuis, JR; Judge, KA; Brunet, BMT; Chan, SO; Sperling, FAH, 2020
Orthoptera	Dociostaurus curvicercus	Dociostaurus jagoi	N	Y	N	N	N	BLONDHEIM, SA, 1990
Orthoptera	Gryllus bimaculatus	Gryllus campestris	Y	Y	Y	?	?	Veen, T; Faulks, J; Tyler, F; Lloyd, J; Tregenza, T, 2013
Orthoptera	Gryllus firmus	Gryllus pennsylvanicus	Y	Y	Y	?	?	Maroja, LS; Andres, JA; Walters, JR; Harrison, RG, 2009
Orthoptera	Gryllus lineaticeps	Gryllus personatus	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA, 2016
Orthoptera	Gryllus staccato	Gryllus lineaticeps	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA, 2016
Orthoptera	Gryllus staccato	Gryllus personatus	Y	Y	Y	Y	Y	Gray, DA; Gutierrez, NJ; Chen, TL; Gonzalez, C; Weissman, DB; Cole, JA, 2016
Orthoptera	Melanoplus sanguinipes	Melanoplus devastator	Y	Y	Y	?	?	Orr, MR, 1996
Orthoptera	Orchelimum nigripes	Orchelimum pulchellum	Y	Y	Y	?	?	Shapiro, LH, 2000
Orthoptera	Podisma tyatiensis	Podisma sapporensis	Y	Y	N	N	N	Bugrov, AG; Warchalowska-Sliwa, E; Akimoto, S, 2005
Orthoptera	Stenobothrus rubicundulus	Stenobothrus clavatus	Y	Y	Y	Y	Y	Sradnick, J; Klopfel, A; Elsner, N; Vedenina, V, 2016
Orthoptera	Tetrix ceperoi	Tetrix subulata	Y	?	?	?	?	Hochkirch, A; Deppermann, J; Groning, J, 2006
Orthoptera	Tetrix undulata	Tetrix subulata	Y	?	?	?	?	Hochkirch, A; Bucker, A; Groning, J 2008
